ID,time,mass,x,y,z
4,607.237,1.1,-0.439,-5.106,-0.487
0,607.824,1.75,-1.273,-5.557,-0.489
1,607.824,0.0,null,null,null
2,607.824,1.2,2.779,15.288,1.771
3,607.824,0.7,-0.912,-4.349,-1.068
4,607.824,1.1,-0.426,-5.069,-0.475
0,608.412,1.75,-1.255,-5.61,-0.508
1,608.412,0.0,null,null,null
2,608.412,1.2,2.783,15.344,1.777
3,608.412,0.7,-0.964,-4.365,-1.045
4,608.412,1.1,-0.425,-5.035,-0.467
0,608.999,1.75,-1.236,-5.662,-0.527
1,608.999,0.0,null,null,null
2,608.999,1.2,2.787,15.399,1.783
3,608.999,0.7,-1.015,-4.382,-1.02
4,608.999,1.1,-0.427,-5.002,-0.458
0,609.586,1.75,-1.212,-5.708,-0.546
1,609.586,0.0,null,null,null
2,609.586,1.2,2.79,15.454,1.789
3,609.586,0.7,-1.063,-4.409,-0.989
4,609.586,1.1,-0.439,-4.973,-0.454
0,610.174,1.75,-1.186,-5.751,-0.566
1,610.174,0.0,null,null,null
2,610.174,1.2,2.794,15.51,1.795
3,610.174,0.7,-1.11,-4.441,-0.956
4,610.174,1.1,-0.456,-4.945,-0.45
0,610.761,1.75,-1.159,-5.792,-0.585
1,610.761,0.0,null,null,null
2,610.761,1.2,2.798,15.565,1.801
3,610.761,0.7,-1.155,-4.474,-0.922
4,610.761,1.1,-0.474,-4.919,-0.447
0,611.348,1.75,-1.127,-5.825,-0.605
1,611.348,0.0,null,null,null
2,611.348,1.2,2.802,15.62,1.807
3,611.348,0.7,-1.193,-4.519,-0.881
4,611.348,1.1,-0.505,-4.898,-0.449
0,611.935,1.75,-1.095,-5.858,-0.624
1,611.935,0.0,null,null,null
2,611.935,1.2,2.806,15.676,1.813
3,611.935,0.7,-1.232,-4.565,-0.84
4,611.935,1.1,-0.535,-4.877,-0.45
0,612.523,1.75,-1.06,-5.882,-0.643
1,612.523,0.0,null,null,null
2,612.523,1.2,2.81,15.731,1.819
3,612.523,0.7,-1.26,-4.622,-0.792
4,612.523,1.1,-0.576,-4.862,-0.457
0,613.11,1.75,-1.025,-5.904,-0.662
1,613.11,0.0,null,null,null
2,613.11,1.2,2.814,15.786,1.825
3,613.11,0.7,-1.285,-4.682,-0.743
4,613.11,1.1,-0.621,-4.85,-0.465
0,613.697,1.75,-0.989,-5.921,-0.68
1,613.697,0.0,null,null,null
2,613.697,1.2,2.818,15.841,1.831
3,613.697,0.7,-1.302,-4.749,-0.69
4,613.697,1.1,-0.672,-4.84,-0.476
0,614.284,1.75,-0.952,-5.931,-0.698
1,614.284,0.0,null,null,null
2,614.284,1.2,2.822,15.897,1.837
3,614.284,0.7,-1.306,-4.823,-0.633
4,614.284,1.1,-0.732,-4.836,-0.49
0,614.872,1.75,-0.916,-5.938,-0.715
1,614.872,0.0,null,null,null
2,614.872,1.2,2.826,15.952,1.843
3,614.872,0.7,-1.298,-4.901,-0.574
4,614.872,1.1,-0.8,-4.837,-0.507
0,615.459,1.75,-0.879,-5.938,-0.731
1,615.459,0.0,null,null,null
2,615.459,1.2,2.829,16.007,1.849
3,615.459,0.7,-1.269,-4.982,-0.514
4,615.459,1.1,-0.88,-4.845,-0.526
0,616.046,1.75,-0.844,-5.933,-0.746
1,616.046,0.0,null,null,null
2,616.046,1.2,2.833,16.062,1.855
3,616.046,0.7,-1.215,-5.059,-0.456
4,616.046,1.1,-0.975,-4.864,-0.546
0,616.634,1.75,-0.81,-5.921,-0.759
1,616.634,0.0,null,null,null
2,616.634,1.2,2.837,16.117,1.86
3,616.634,0.7,-1.129,-5.117,-0.414
4,616.634,1.1,-1.088,-4.906,-0.558
0,617.221,1.75,-0.778,-5.903,-0.771
1,617.221,0.0,null,null,null
2,617.221,1.2,2.841,16.172,1.866
3,617.221,0.7,-1.033,-5.131,-0.409
4,617.221,1.1,-1.204,-4.986,-0.55
0,617.808,1.75,-0.749,-5.878,-0.78
1,617.808,0.0,null,null,null
2,617.808,1.2,2.845,16.227,1.872
3,617.808,0.7,-0.969,-5.12,-0.439
4,617.808,1.1,-1.294,-5.093,-0.522
0,618.395,1.75,-0.724,-5.846,-0.786
1,618.395,0.0,null,null,null
2,618.395,1.2,2.849,16.282,1.878
3,618.395,0.7,-0.939,-5.112,-0.484
4,618.395,1.1,-1.358,-5.208,-0.49
0,618.983,1.75,-0.703,-5.807,-0.789
1,618.983,0.0,null,null,null
2,618.983,1.2,2.852,16.337,1.884
3,618.983,0.7,-0.931,-5.119,-0.534
4,618.983,1.1,-1.401,-5.326,-0.46
0,619.57,1.75,-0.688,-5.761,-0.789
1,619.57,0.0,null,null,null
2,619.57,1.2,2.856,16.392,1.89
3,619.57,0.7,-0.933,-5.143,-0.585
4,619.57,1.1,-1.428,-5.445,-0.434
0,620.157,1.75,-0.679,-5.708,-0.785
1,620.157,0.0,null,null,null
2,620.157,1.2,2.86,16.447,1.896
3,620.157,0.7,-0.941,-5.184,-0.638
4,620.157,1.1,-1.442,-5.562,-0.413
0,620.744,1.75,-0.679,-5.647,-0.776
1,620.744,0.0,null,null,null
2,620.744,1.2,2.864,16.502,1.902
3,620.744,0.7,-0.947,-5.249,-0.692
4,620.744,1.1,-1.442,-5.678,-0.399
0,621.332,1.75,-0.691,-5.576,-0.763
1,621.332,0.0,null,null,null
2,621.332,1.2,2.868,16.556,1.908
3,621.332,0.7,-0.942,-5.343,-0.748
4,621.332,1.1,-1.43,-5.79,-0.391
0,621.919,1.75,-0.73,-5.491,-0.747
1,621.919,0.0,null,null,null
2,621.919,1.2,2.872,16.611,1.913
3,621.919,0.7,-0.888,-5.484,-0.799
4,621.919,1.1,-1.405,-5.897,-0.39
0,622.506,1.75,-0.837,-5.447,-0.768
1,622.506,0.0,null,null,null
2,622.506,1.2,2.875,16.666,1.919
3,622.506,0.7,-0.683,-5.529,-0.75
4,622.506,1.1,-1.371,-5.996,-0.395
0,623.094,1.75,-0.905,-5.474,-0.799
1,623.094,0.0,null,null,null
2,623.094,1.2,2.879,16.721,1.925
3,623.094,0.7,-0.586,-5.413,-0.664
4,623.094,1.1,-1.327,-6.088,-0.406
0,623.681,1.75,-0.953,-5.503,-0.819
1,623.681,0.0,null,null,null
2,623.681,1.2,2.883,16.775,1.931
3,623.681,0.7,-0.552,-5.303,-0.599
4,623.681,1.1,-1.277,-6.171,-0.422
0,624.268,1.75,-0.994,-5.533,-0.831
1,624.268,0.0,null,null,null
2,624.268,1.2,2.887,16.83,1.937
3,624.268,0.7,-0.545,-5.208,-0.547
4,624.268,1.1,-1.222,-6.244,-0.443
0,624.855,1.75,-1.03,-5.564,-0.836
1,624.855,0.0,null,null,null
2,624.855,1.2,2.891,16.885,1.943
3,624.855,0.7,-0.553,-5.125,-0.503
4,624.855,1.1,-1.162,-6.307,-0.469
0,625.443,1.75,-1.064,-5.598,-0.836
1,625.443,0.0,null,null,null
2,625.443,1.2,2.894,16.939,1.949
3,625.443,0.7,-0.571,-5.051,-0.465
4,625.443,1.1,-1.101,-6.359,-0.5
0,626.03,1.75,-1.096,-5.635,-0.832
1,626.03,0.0,null,null,null
2,626.03,1.2,2.898,16.994,1.954
3,626.03,0.7,-0.595,-4.987,-0.432
4,626.03,1.1,-1.039,-6.401,-0.534
0,626.617,1.75,-1.126,-5.675,-0.824
1,626.617,0.0,null,null,null
2,626.617,1.2,2.902,17.049,1.96
3,626.617,0.7,-0.625,-4.93,-0.402
4,626.617,1.1,-0.977,-6.433,-0.572
0,627.204,1.75,-1.153,-5.72,-0.812
1,627.204,0.0,null,null,null
2,627.204,1.2,2.906,17.103,1.966
3,627.204,0.7,-0.659,-4.881,-0.376
4,627.204,1.1,-0.917,-6.452,-0.613
0,627.792,1.75,-1.175,-5.769,-0.798
1,627.792,0.0,null,null,null
2,627.792,1.2,2.909,17.158,1.972
3,627.792,0.7,-0.696,-4.839,-0.353
4,627.792,1.1,-0.861,-6.46,-0.657
0,628.379,1.75,-1.196,-5.822,-0.782
1,628.379,0.0,null,null,null
2,628.379,1.2,2.913,17.212,1.978
3,628.379,0.7,-0.735,-4.8,-0.331
4,628.379,1.1,-0.807,-6.46,-0.703
0,628.966,1.75,-1.209,-5.882,-0.764
1,628.966,0.0,null,null,null
2,628.966,1.2,2.917,17.267,1.984
3,628.966,0.7,-0.777,-4.771,-0.313
4,628.966,1.1,-0.764,-6.443,-0.749
0,629.553,1.75,-1.221,-5.943,-0.746
1,629.553,0.0,null,null,null
2,629.553,1.2,2.921,17.321,1.99
3,629.553,0.7,-0.82,-4.742,-0.295
4,629.553,1.1,-0.723,-6.423,-0.796
0,630.141,1.75,-1.221,-6.013,-0.728
1,630.141,0.0,null,null,null
2,630.141,1.2,2.924,17.376,1.995
3,630.141,0.7,-0.864,-4.722,-0.281
4,630.141,1.1,-0.698,-6.384,-0.841
0,630.728,1.75,-1.214,-6.086,-0.711
1,630.728,0.0,null,null,null
2,630.728,1.2,2.928,17.43,2.001
3,630.728,0.7,-0.909,-4.705,-0.267
4,630.728,1.1,-0.684,-6.339,-0.883
0,631.315,1.75,-1.198,-6.162,-0.697
1,631.315,0.0,null,null,null
2,631.315,1.2,2.932,17.484,2.007
3,631.315,0.7,-0.954,-4.692,-0.255
4,631.315,1.1,-0.685,-6.285,-0.919
0,631.903,1.75,-1.169,-6.239,-0.687
1,631.903,0.0,null,null,null
2,631.903,1.2,2.936,17.539,2.013
3,631.903,0.7,-1.0,-4.684,-0.244
4,631.903,1.1,-0.707,-6.226,-0.947
0,632.49,1.75,-1.127,-6.316,-0.685
1,632.49,0.0,null,null,null
2,632.49,1.2,2.939,17.593,2.019
3,632.49,0.7,-1.045,-4.679,-0.234
4,632.49,1.1,-0.749,-6.167,-0.963
0,633.077,1.75,-1.071,-6.386,-0.693
1,633.077,0.0,null,null,null
2,633.077,1.2,2.943,17.648,2.025
3,633.077,0.7,-1.091,-4.678,-0.226
4,633.077,1.1,-0.813,-6.115,-0.962
0,633.664,1.75,-1.003,-6.442,-0.713
1,633.664,0.0,null,null,null
2,633.664,1.2,2.947,17.702,2.03
3,633.664,0.7,-1.136,-4.681,-0.219
4,633.664,1.1,-0.896,-6.083,-0.941
0,634.252,1.75,-0.931,-6.48,-0.744
1,634.252,0.0,null,null,null
2,634.252,1.2,2.95,17.756,2.036
3,634.252,0.7,-1.181,-4.688,-0.214
4,634.252,1.1,-0.987,-6.078,-0.902
0,634.839,1.75,-0.861,-6.497,-0.782
1,634.839,0.0,null,null,null
2,634.839,1.2,2.954,17.81,2.042
3,634.839,0.7,-1.225,-4.698,-0.21
4,634.839,1.1,-1.073,-6.103,-0.85
0,635.426,1.75,-0.802,-6.494,-0.824
1,635.426,0.0,null,null,null
2,635.426,1.2,2.958,17.865,2.048
3,635.426,0.7,-1.269,-4.711,-0.207
4,635.426,1.1,-1.144,-6.159,-0.791
0,636.013,1.75,-0.756,-6.477,-0.864
1,636.013,0.0,null,null,null
2,636.013,1.2,2.962,17.919,2.054
3,636.013,0.7,-1.312,-4.728,-0.206
4,636.013,1.1,-1.194,-6.234,-0.735
0,636.601,1.75,-0.723,-6.453,-0.9
1,636.601,0.0,null,null,null
2,636.601,1.2,2.965,17.973,2.059
3,636.601,0.7,-1.354,-4.748,-0.206
4,636.601,1.1,-1.223,-6.32,-0.684
0,637.188,1.75,-0.702,-6.424,-0.931
1,637.188,0.0,null,null,null
2,637.188,1.2,2.969,18.027,2.065
3,637.188,0.7,-1.396,-4.771,-0.206
4,637.188,1.1,-1.233,-6.41,-0.641
0,637.775,1.75,-0.693,-6.394,-0.956
1,637.775,0.0,null,null,null
2,637.775,1.2,2.973,18.081,2.071
3,637.775,0.7,-1.437,-4.798,-0.208
4,637.775,1.1,-1.227,-6.499,-0.606
0,638.362,1.75,-0.692,-6.365,-0.975
1,638.362,0.0,null,null,null
2,638.362,1.2,2.976,18.135,2.077
3,638.362,0.7,-1.477,-4.827,-0.211
4,638.362,1.1,-1.207,-6.586,-0.58
0,638.95,1.75,-0.698,-6.338,-0.988
1,638.95,0.0,null,null,null
2,638.95,1.2,2.98,18.189,2.083
3,638.95,0.7,-1.516,-4.859,-0.216
4,638.95,1.1,-1.176,-6.668,-0.562
0,639.537,1.75,-0.712,-6.315,-0.995
1,639.537,0.0,null,null,null
2,639.537,1.2,2.984,18.243,2.088
3,639.537,0.7,-1.553,-4.894,-0.221
4,639.537,1.1,-1.134,-6.74,-0.554
0,640.124,1.75,-0.729,-6.296,-0.998
1,640.124,0.0,null,null,null
2,640.124,1.2,2.987,18.297,2.094
3,640.124,0.7,-1.59,-4.932,-0.227
4,640.124,1.1,-1.088,-6.807,-0.552
0,640.712,1.75,-0.751,-6.28,-0.996
1,640.712,0.0,null,null,null
2,640.712,1.2,2.991,18.351,2.1
3,640.712,0.7,-1.625,-4.973,-0.235
4,640.712,1.1,-1.035,-6.864,-0.557
0,641.299,1.75,-0.775,-6.27,-0.99
1,641.299,0.0,null,null,null
2,641.299,1.2,2.995,18.405,2.106
3,641.299,0.7,-1.659,-5.016,-0.244
4,641.299,1.1,-0.978,-6.911,-0.568
0,641.886,1.75,-0.802,-6.264,-0.979
1,641.886,0.0,null,null,null
2,641.886,1.2,2.998,18.459,2.112
3,641.886,0.7,-1.691,-5.062,-0.253
4,641.886,1.1,-0.919,-6.951,-0.584
0,642.473,1.75,-0.83,-6.263,-0.965
1,642.473,0.0,null,null,null
2,642.473,1.2,3.002,18.513,2.117
3,642.473,0.7,-1.721,-5.111,-0.265
4,642.473,1.1,-0.859,-6.979,-0.606
0,643.061,1.75,-0.859,-6.268,-0.947
1,643.061,0.0,null,null,null
2,643.061,1.2,3.006,18.567,2.123
3,643.061,0.7,-1.749,-5.163,-0.277
4,643.061,1.1,-0.799,-6.997,-0.633
0,643.648,1.75,-0.888,-6.276,-0.927
1,643.648,0.0,null,null,null
2,643.648,1.2,3.009,18.621,2.129
3,643.648,0.7,-1.776,-5.217,-0.291
4,643.648,1.1,-0.74,-7.009,-0.662
0,644.235,1.75,-0.916,-6.295,-0.902
1,644.235,0.0,null,null,null
2,644.235,1.2,3.013,18.675,2.135
3,644.235,0.7,-1.799,-5.276,-0.307
4,644.235,1.1,-0.684,-7.001,-0.698
0,644.823,1.75,-0.945,-6.313,-0.878
1,644.823,0.0,null,null,null
2,644.823,1.2,3.017,18.729,2.14
3,644.823,0.7,-1.822,-5.335,-0.323
4,644.823,1.1,-0.629,-6.993,-0.733
0,645.41,1.75,-0.969,-6.341,-0.849
1,645.41,0.0,null,null,null
2,645.41,1.2,3.02,18.783,2.146
3,645.41,0.7,-1.84,-5.4,-0.342
4,645.41,1.1,-0.583,-6.967,-0.773
0,645.997,1.75,-0.992,-6.371,-0.82
1,645.997,0.0,null,null,null
2,645.997,1.2,3.024,18.836,2.152
3,645.997,0.7,-1.857,-5.466,-0.361
4,645.997,1.1,-0.54,-6.934,-0.813
0,646.584,1.75,-1.007,-6.411,-0.791
1,646.584,0.0,null,null,null
2,646.584,1.2,3.028,18.89,2.158
3,646.584,0.7,-1.868,-5.538,-0.383
4,646.584,1.1,-0.511,-6.885,-0.852
0,647.172,1.75,-1.021,-6.452,-0.761
1,647.172,0.0,null,null,null
2,647.172,1.2,3.031,18.944,2.163
3,647.172,0.7,-1.879,-5.611,-0.406
4,647.172,1.1,-0.486,-6.831,-0.892
0,647.759,1.75,-1.025,-6.5,-0.733
1,647.759,0.0,null,null,null
2,647.759,1.2,3.035,18.998,2.169
3,647.759,0.7,-1.883,-5.689,-0.431
4,647.759,1.1,-0.482,-6.764,-0.926
0,648.346,1.75,-1.025,-6.549,-0.707
1,648.346,0.0,null,null,null
2,648.346,1.2,3.039,19.052,2.175
3,648.346,0.7,-1.884,-5.77,-0.457
4,648.346,1.1,-0.485,-6.693,-0.957
0,648.933,1.75,-1.012,-6.601,-0.687
1,648.933,0.0,null,null,null
2,648.933,1.2,3.042,19.105,2.181
3,648.933,0.7,-1.879,-5.857,-0.485
4,648.933,1.1,-0.513,-6.614,-0.977
0,649.521,1.75,-0.993,-6.651,-0.672
1,649.521,0.0,null,null,null
2,649.521,1.2,3.046,19.159,2.186
3,649.521,0.7,-1.87,-5.947,-0.514
4,649.521,1.1,-0.553,-6.536,-0.99
0,650.108,1.75,-0.964,-6.697,-0.664
1,650.108,0.0,null,null,null
2,650.108,1.2,3.049,19.213,2.192
3,650.108,0.7,-1.855,-6.041,-0.544
4,650.108,1.1,-0.612,-6.461,-0.989
0,650.695,1.75,-0.926,-6.735,-0.665
1,650.695,0.0,null,null,null
2,650.695,1.2,3.053,19.266,2.198
3,650.695,0.7,-1.834,-6.139,-0.576
4,650.695,1.1,-0.69,-6.396,-0.973
0,651.282,1.75,-0.883,-6.761,-0.676
1,651.282,0.0,null,null,null
2,651.282,1.2,3.057,19.32,2.204
3,651.282,0.7,-1.804,-6.241,-0.609
4,651.282,1.1,-0.782,-6.349,-0.94
0,651.87,1.75,-0.838,-6.771,-0.697
1,651.87,0.0,null,null,null
2,651.87,1.2,3.06,19.373,2.209
3,651.87,0.7,-1.765,-6.346,-0.644
4,651.87,1.1,-0.881,-6.324,-0.892
0,652.457,1.75,-0.798,-6.764,-0.724
1,652.457,0.0,null,null,null
2,652.457,1.2,3.064,19.427,2.215
3,652.457,0.7,-1.715,-6.454,-0.681
4,652.457,1.1,-0.981,-6.325,-0.832
0,653.044,1.75,-0.767,-6.74,-0.755
1,653.044,0.0,null,null,null
2,653.044,1.2,3.067,19.481,2.221
3,653.044,0.7,-1.651,-6.563,-0.719
4,653.044,1.1,-1.076,-6.352,-0.764
0,653.632,1.75,-0.751,-6.701,-0.786
1,653.632,0.0,null,null,null
2,653.632,1.2,3.071,19.534,2.227
3,653.632,0.7,-1.566,-6.669,-0.758
4,653.632,1.1,-1.159,-6.406,-0.696
0,654.219,1.75,-0.751,-6.652,-0.815
1,654.219,0.0,null,null,null
2,654.219,1.2,3.075,19.588,2.232
3,654.219,0.7,-1.457,-6.765,-0.795
4,654.219,1.1,-1.232,-6.481,-0.633
0,654.806,1.75,-0.771,-6.599,-0.838
1,654.806,0.0,null,null,null
2,654.806,1.2,3.078,19.641,2.238
3,654.806,0.7,-1.319,-6.839,-0.82
4,654.806,1.1,-1.292,-6.576,-0.586
0,655.393,1.75,-0.81,-6.55,-0.856
1,655.393,0.0,null,null,null
2,655.393,1.2,3.082,19.695,2.244
3,655.393,0.7,-1.161,-6.879,-0.824
4,655.393,1.1,-1.335,-6.687,-0.562
0,655.981,1.75,-0.866,-6.511,-0.867
1,655.981,0.0,null,null,null
2,655.981,1.2,3.085,19.748,2.25
3,655.981,0.7,-0.996,-6.882,-0.809
4,655.981,1.1,-1.354,-6.806,-0.56
0,656.568,1.75,-0.935,-6.493,-0.87
1,656.568,0.0,null,null,null
2,656.568,1.2,3.089,19.802,2.255
3,656.568,0.7,-0.836,-6.841,-0.787
4,656.568,1.1,-1.35,-6.919,-0.575
0,657.155,1.75,-1.006,-6.498,-0.865
1,657.155,0.0,null,null,null
2,657.155,1.2,3.093,19.855,2.261
3,657.155,0.7,-0.702,-6.756,-0.77
4,657.155,1.1,-1.326,-7.022,-0.6
0,657.742,1.75,-1.07,-6.523,-0.852
1,657.742,0.0,null,null,null
2,657.742,1.2,3.096,19.908,2.267
3,657.742,0.7,-0.605,-6.649,-0.76
4,657.742,1.1,-1.29,-7.11,-0.634
0,658.33,1.75,-1.127,-6.559,-0.834
1,658.33,0.0,null,null,null
2,658.33,1.2,3.1,19.962,2.272
3,658.33,0.7,-0.539,-6.536,-0.754
4,658.33,1.1,-1.246,-7.182,-0.672
0,658.917,1.75,-1.177,-6.606,-0.812
1,658.917,0.0,null,null,null
2,658.917,1.2,3.103,20.015,2.278
3,658.917,0.7,-0.498,-6.427,-0.751
4,658.917,1.1,-1.196,-7.235,-0.716
0,659.504,1.75,-1.222,-6.662,-0.788
1,659.504,0.0,null,null,null
2,659.504,1.2,3.107,20.069,2.284
3,659.504,0.7,-0.473,-6.324,-0.749
4,659.504,1.1,-1.144,-7.27,-0.762
0,660.091,1.75,-1.261,-6.728,-0.763
1,660.091,0.0,null,null,null
2,660.091,1.2,3.11,20.122,2.29
3,660.091,0.7,-0.459,-6.228,-0.747
4,660.091,1.1,-1.094,-7.284,-0.808
0,660.679,1.75,-1.295,-6.804,-0.739
1,660.679,0.0,null,null,null
2,660.679,1.2,3.114,20.175,2.295
3,660.679,0.7,-0.453,-6.137,-0.746
4,660.679,1.1,-1.049,-7.28,-0.853
0,661.266,1.75,-1.32,-6.89,-0.719
1,661.266,0.0,null,null,null
2,661.266,1.2,3.118,20.228,2.301
3,661.266,0.7,-0.453,-6.053,-0.745
4,661.266,1.1,-1.013,-7.254,-0.893
0,661.853,1.75,-1.333,-6.988,-0.704
1,661.853,0.0,null,null,null
2,661.853,1.2,3.121,20.282,2.307
3,661.853,0.7,-0.458,-5.975,-0.744
4,661.853,1.1,-0.993,-7.206,-0.922
0,662.441,1.75,-1.329,-7.094,-0.7
1,662.441,0.0,null,null,null
2,662.441,1.2,3.125,20.335,2.312
3,662.441,0.7,-0.467,-5.902,-0.744
4,662.441,1.1,-0.997,-7.142,-0.936
0,663.028,1.75,-1.305,-7.201,-0.709
1,663.028,0.0,null,null,null
2,663.028,1.2,3.128,20.388,2.318
3,663.028,0.7,-0.478,-5.834,-0.743
4,663.028,1.1,-1.032,-7.073,-0.928
0,663.615,1.75,-1.257,-7.296,-0.737
1,663.615,0.0,null,null,null
2,663.615,1.2,3.132,20.441,2.324
3,663.615,0.7,-0.492,-5.77,-0.743
4,663.615,1.1,-1.103,-7.02,-0.889
0,664.202,1.75,-1.194,-7.363,-0.78
1,664.202,0.0,null,null,null
2,664.202,1.2,3.135,20.495,2.33
3,664.202,0.7,-0.508,-5.711,-0.743
4,664.202,1.1,-1.197,-7.01,-0.827
0,664.79,1.75,-1.131,-7.396,-0.827
1,664.79,0.0,null,null,null
2,664.79,1.2,3.139,20.548,2.335
3,664.79,0.7,-0.526,-5.656,-0.744
4,664.79,1.1,-1.291,-7.05,-0.758
0,665.377,1.75,-1.078,-7.403,-0.87
1,665.377,0.0,null,null,null
2,665.377,1.2,3.142,20.601,2.341
3,665.377,0.7,-0.545,-5.603,-0.744
4,665.377,1.1,-1.366,-7.13,-0.696
0,665.964,1.75,-1.041,-7.394,-0.904
1,665.964,0.0,null,null,null
2,665.964,1.2,3.146,20.654,2.347
3,665.964,0.7,-0.566,-5.555,-0.745
4,665.964,1.1,-1.416,-7.233,-0.648
0,666.551,1.75,-1.017,-7.378,-0.928
1,666.551,0.0,null,null,null
2,666.551,1.2,3.15,20.707,2.352
3,666.551,0.7,-0.587,-5.509,-0.745
4,666.551,1.1,-1.444,-7.346,-0.616
0,667.139,1.75,-1.006,-7.36,-0.942
1,667.139,0.0,null,null,null
2,667.139,1.2,3.153,20.76,2.358
3,667.139,0.7,-0.61,-5.466,-0.746
4,667.139,1.1,-1.451,-7.46,-0.599
0,667.726,1.75,-1.006,-7.344,-0.948
1,667.726,0.0,null,null,null
2,667.726,1.2,3.157,20.813,2.364
3,667.726,0.7,-0.633,-5.425,-0.747
4,667.726,1.1,-1.441,-7.57,-0.595
0,668.313,1.75,-1.014,-7.332,-0.947
1,668.313,0.0,null,null,null
2,668.313,1.2,3.16,20.867,2.369
3,668.313,0.7,-0.657,-5.388,-0.748
4,668.313,1.1,-1.416,-7.671,-0.602
0,668.901,1.75,-1.029,-7.325,-0.94
1,668.901,0.0,null,null,null
2,668.901,1.2,3.164,20.92,2.375
3,668.901,0.7,-0.682,-5.353,-0.749
4,668.901,1.1,-1.38,-7.762,-0.619
0,669.488,1.75,-1.049,-7.322,-0.928
1,669.488,0.0,null,null,null
2,669.488,1.2,3.167,20.973,2.381
3,669.488,0.7,-0.707,-5.319,-0.75
4,669.488,1.1,-1.337,-7.845,-0.643
0,670.075,1.75,-1.074,-7.33,-0.911
1,670.075,0.0,null,null,null
2,670.075,1.2,3.171,21.026,2.386
3,670.075,0.7,-0.732,-5.289,-0.751
4,670.075,1.1,-1.284,-7.911,-0.676
0,670.662,1.75,-1.102,-7.344,-0.891
1,670.662,0.0,null,null,null
2,670.662,1.2,3.174,21.079,2.392
3,670.662,0.7,-0.758,-5.261,-0.753
4,670.662,1.1,-1.228,-7.963,-0.713
0,671.25,1.75,-1.131,-7.366,-0.869
1,671.25,0.0,null,null,null
2,671.25,1.2,3.178,21.132,2.398
3,671.25,0.7,-0.784,-5.234,-0.754
4,671.25,1.1,-1.168,-8.004,-0.754
0,671.837,1.75,-1.161,-7.401,-0.844
1,671.837,0.0,null,null,null
2,671.837,1.2,3.181,21.185,2.403
3,671.837,0.7,-0.811,-5.21,-0.756
4,671.837,1.1,-1.108,-8.021,-0.798
0,672.424,1.75,-1.19,-7.44,-0.818
1,672.424,0.0,null,null,null
2,672.424,1.2,3.185,21.238,2.409
3,672.424,0.7,-0.837,-5.187,-0.757
4,672.424,1.1,-1.048,-8.031,-0.844
0,673.011,1.75,-1.216,-7.495,-0.793
1,673.011,0.0,null,null,null
2,673.011,1.2,3.188,21.291,2.415
3,673.011,0.7,-0.864,-5.167,-0.759
4,673.011,1.1,-0.994,-8.014,-0.889
0,673.599,1.75,-1.236,-7.56,-0.771
1,673.599,0.0,null,null,null
2,673.599,1.2,3.192,21.343,2.42
3,673.599,0.7,-0.892,-5.148,-0.761
4,673.599,1.1,-0.948,-7.98,-0.93
0,674.186,1.75,-1.249,-7.637,-0.753
1,674.186,0.0,null,null,null
2,674.186,1.2,3.195,21.396,2.426
3,674.186,0.7,-0.919,-5.131,-0.763
4,674.186,1.1,-0.914,-7.927,-0.964
0,674.773,1.75,-1.249,-7.723,-0.742
1,674.773,0.0,null,null,null
2,674.773,1.2,3.199,21.449,2.432
3,674.773,0.7,-0.947,-5.116,-0.765
4,674.773,1.1,-0.9,-7.857,-0.985
0,675.361,1.75,-1.231,-7.815,-0.744
1,675.361,0.0,null,null,null
2,675.361,1.2,3.202,21.502,2.437
3,675.361,0.7,-0.974,-5.102,-0.766
4,675.361,1.1,-0.914,-7.777,-0.987
0,675.948,1.75,-1.193,-7.904,-0.762
1,675.948,0.0,null,null,null
2,675.948,1.2,3.206,21.555,2.443
3,675.948,0.7,-1.002,-5.09,-0.768
4,675.948,1.1,-0.961,-7.701,-0.964
0,676.535,1.75,-1.136,-7.975,-0.797
1,676.535,0.0,null,null,null
2,676.535,1.2,3.209,21.608,2.449
3,676.535,0.7,-1.03,-5.079,-0.77
4,676.535,1.1,-1.039,-7.653,-0.914
0,677.122,1.75,-1.069,-8.016,-0.842
1,677.122,0.0,null,null,null
2,677.122,1.2,3.213,21.661,2.454
3,677.122,0.7,-1.058,-5.07,-0.772
4,677.122,1.1,-1.13,-7.65,-0.846
0,677.71,1.75,-1.007,-8.027,-0.888
1,677.71,0.0,null,null,null
2,677.71,1.2,3.216,21.713,2.46
3,677.71,0.7,-1.086,-5.062,-0.774
4,677.71,1.1,-1.215,-7.696,-0.778
0,678.297,1.75,-0.959,-8.015,-0.927
1,678.297,0.0,null,null,null
2,678.297,1.2,3.22,21.766,2.466
3,678.297,0.7,-1.113,-5.056,-0.776
4,678.297,1.1,-1.278,-7.777,-0.721
0,678.884,1.75,-0.925,-7.991,-0.957
1,678.884,0.0,null,null,null
2,678.884,1.2,3.223,21.819,2.471
3,678.884,0.7,-1.141,-5.051,-0.779
4,678.884,1.1,-1.318,-7.875,-0.678
0,679.471,1.75,-0.905,-7.962,-0.977
1,679.471,0.0,null,null,null
2,679.471,1.2,3.227,21.872,2.477
3,679.471,0.7,-1.169,-5.048,-0.781
4,679.471,1.1,-1.336,-7.98,-0.651
0,680.059,1.75,-0.898,-7.934,-0.987
1,680.059,0.0,null,null,null
